n_components,reconstruction_error,alpha,l1_ratio
2,136.07520980686473,0.0,0.0
2,136.07520980686473,0.0,0.25
2,136.07520980686473,0.0,0.5
2,136.07520980686473,0.0,0.75
2,136.07520980686473,0.0,1.0
2,137.12038506363666,0.25,0.0
2,137.12038506363666,0.25,0.25
2,137.12038506363666,0.25,0.5
2,137.12038506363666,0.25,0.75
2,137.12038506363666,0.25,1.0
2,137.12038506363666,0.5,0.0
2,137.12038506363666,0.5,0.25
2,137.12038506363666,0.5,0.5
2,137.12038506363666,0.5,0.75
2,137.12038506363666,0.5,1.0
2,137.12038506363666,0.75,0.0
2,137.12038506363666,0.75,0.25
2,137.12038506363666,0.75,0.5
2,137.12038506363666,0.75,0.75
2,137.12038506363666,0.75,1.0
2,137.12038506363666,1.0,0.0
2,137.12038506363666,1.0,0.25
2,137.12038506363666,1.0,0.5
2,137.12038506363666,1.0,0.75
2,137.12038506363666,1.0,1.0
3,136.07520980686473,0.0,0.0
3,136.07520980686473,0.0,0.25
3,136.07520980686473,0.0,0.5
3,136.07520980686473,0.0,0.75
3,136.07520980686473,0.0,1.0
3,137.12038506363666,0.25,0.0
3,137.12038506363666,0.25,0.25
3,137.12038506363666,0.25,0.5
3,137.12038506363666,0.25,0.75
3,137.12038506363666,0.25,1.0
3,137.12038506363666,0.5,0.0
3,137.12038506363666,0.5,0.25
3,137.12038506363666,0.5,0.5
3,137.12038506363666,0.5,0.75
3,137.12038506363666,0.5,1.0
3,137.12038506363666,0.75,0.0
3,137.12038506363666,0.75,0.25
3,137.12038506363666,0.75,0.5
3,137.12038506363666,0.75,0.75
3,137.12038506363666,0.75,1.0
3,137.12038506363666,1.0,0.0
3,137.12038506363666,1.0,0.25
3,137.12038506363666,1.0,0.5
3,137.12038506363666,1.0,0.75
3,137.12038506363666,1.0,1.0
4,136.07520980686473,0.0,0.0
4,136.07520980686473,0.0,0.25
4,136.07520980686473,0.0,0.5
4,136.07520980686473,0.0,0.75
4,136.07520980686473,0.0,1.0
4,137.12038506363666,0.25,0.0
4,137.12038506363666,0.25,0.25
4,137.12038506363666,0.25,0.5
4,137.12038506363666,0.25,0.75
4,137.12038506363666,0.25,1.0
4,137.12038506363666,0.5,0.0
4,137.12038506363666,0.5,0.25
4,137.12038506363666,0.5,0.5
4,137.12038506363666,0.5,0.75
4,137.12038506363666,0.5,1.0
4,137.12038506363666,0.75,0.0
4,137.12038506363666,0.75,0.25
4,137.12038506363666,0.75,0.5
4,137.12038506363666,0.75,0.75
4,137.12038506363666,0.75,1.0
4,137.12038506363666,1.0,0.0
4,137.12038506363666,1.0,0.25
4,137.12038506363666,1.0,0.5
4,137.12038506363666,1.0,0.75
4,137.12038506363666,1.0,1.0
5,136.07520980686473,0.0,0.0
5,136.07520980686473,0.0,0.25
5,136.07520980686473,0.0,0.5
5,136.07520980686473,0.0,0.75
5,136.07520980686473,0.0,1.0
5,137.12038506363666,0.25,0.0
5,137.12038506363666,0.25,0.25
5,137.12038506363666,0.25,0.5
5,137.12038506363666,0.25,0.75
5,137.12038506363666,0.25,1.0
5,137.12038506363666,0.5,0.0
5,137.12038506363666,0.5,0.25
5,137.12038506363666,0.5,0.5
5,137.12038506363666,0.5,0.75
5,137.12038506363666,0.5,1.0
5,137.12038506363666,0.75,0.0
5,137.12038506363666,0.75,0.25
5,137.12038506363666,0.75,0.5
5,137.12038506363666,0.75,0.75
5,137.12038506363666,0.75,1.0
5,137.12038506363666,1.0,0.0
5,137.12038506363666,1.0,0.25
5,137.12038506363666,1.0,0.5
5,137.12038506363666,1.0,0.75
5,137.12038506363666,1.0,1.0
6,136.07520980686473,0.0,0.0
6,136.07520980686473,0.0,0.25
6,136.07520980686473,0.0,0.5
6,136.07520980686473,0.0,0.75
6,136.07520980686473,0.0,1.0
6,137.12038506363666,0.25,0.0
6,137.12038506363666,0.25,0.25
6,137.12038506363666,0.25,0.5
6,137.12038506363666,0.25,0.75
6,137.12038506363666,0.25,1.0
6,137.12038506363666,0.5,0.0
6,137.12038506363666,0.5,0.25
6,137.12038506363666,0.5,0.5
6,137.12038506363666,0.5,0.75
6,137.12038506363666,0.5,1.0
6,137.12038506363666,0.75,0.0
6,137.12038506363666,0.75,0.25
6,137.12038506363666,0.75,0.5
6,137.12038506363666,0.75,0.75
6,137.12038506363666,0.75,1.0
6,137.12038506363666,1.0,0.0
6,137.12038506363666,1.0,0.25
6,137.12038506363666,1.0,0.5
6,137.12038506363666,1.0,0.75
6,137.12038506363666,1.0,1.0
7,136.07520980686473,0.0,0.0
7,136.07520980686473,0.0,0.25
7,136.07520980686473,0.0,0.5
7,136.07520980686473,0.0,0.75
7,136.07520980686473,0.0,1.0
7,137.12038506363666,0.25,0.0
7,137.12038506363666,0.25,0.25
7,137.12038506363666,0.25,0.5
7,137.12038506363666,0.25,0.75
7,137.12038506363666,0.25,1.0
7,137.12038506363666,0.5,0.0
7,137.12038506363666,0.5,0.25
7,137.12038506363666,0.5,0.5
7,137.12038506363666,0.5,0.75
7,137.12038506363666,0.5,1.0
7,137.12038506363666,0.75,0.0
7,137.12038506363666,0.75,0.25
7,137.12038506363666,0.75,0.5
7,137.12038506363666,0.75,0.75
7,137.12038506363666,0.75,1.0
7,137.12038506363666,1.0,0.0
7,137.12038506363666,1.0,0.25
7,137.12038506363666,1.0,0.5
7,137.12038506363666,1.0,0.75
7,137.12038506363666,1.0,1.0
8,136.07520980686473,0.0,0.0
