n_components,reconstruction_error,alpha,l1_ratio,topics,time
2,136.0754589100405,0,0.0,"['windows', 'thanks', 'drive', 'card', 'dos', 'use', 'file', 'know', 'program', 'scsi', 'does', 'software', 'pc', 'mail', 'problem', 'files', 'help', 'disk', 'using', 'mac', 'like', 'need', 'hi', 'graphics', 'window', 'work', 'advance', 'monitor', 'video', 'run', 'new', 'computer', 'looking', 'memory', 'bit', 'running', 'version', 'data', 'ftp', 've', 'email', 'used', 'driver', 'hard', 'information', 'screen', 'info', 'machine', 'mouse', 'available', 'ide', 'drivers', 'just', 'bus', 'appreciated', 'controller', 'color', 'ram', 'ms', 'want', 'board', 'os', 'display', 'drives', 'edu', 'image', 'mode', 'format', 'modem', 'server', 'apple', 'anybody', 'problems', 'ibm', 'chip', 'unix', 'port', 'set', 'application', 'hardware', 'send', '00', 'copy', 'good', 'interested', 'printer', 'floppy', 'code', 'price', 'access', 'don', 'speed', 'time', 'address', 'cards', 'works', 'vga', '16', 'sale', 'list']",1.4255720299988752
2,136.0754589100405,0,0.25,"['windows', 'thanks', 'drive', 'card', 'dos', 'use', 'file', 'know', 'program', 'scsi', 'does', 'software', 'pc', 'mail', 'problem', 'files', 'help', 'disk', 'using', 'mac', 'like', 'need', 'hi', 'graphics', 'window', 'work', 'advance', 'monitor', 'video', 'run', 'new', 'computer', 'looking', 'memory', 'bit', 'running', 'version', 'data', 'ftp', 've', 'email', 'used', 'driver', 'hard', 'information', 'screen', 'info', 'machine', 'mouse', 'available', 'ide', 'drivers', 'just', 'bus', 'appreciated', 'controller', 'color', 'ram', 'ms', 'want', 'board', 'os', 'display', 'drives', 'edu', 'image', 'mode', 'format', 'modem', 'server', 'apple', 'anybody', 'problems', 'ibm', 'chip', 'unix', 'port', 'set', 'application', 'hardware', 'send', '00', 'copy', 'good', 'interested', 'printer', 'floppy', 'code', 'price', 'access', 'don', 'speed', 'time', 'address', 'cards', 'works', 'vga', '16', 'sale', 'list']",1.342333583990694
2,136.0754589100405,0,0.5,"['windows', 'thanks', 'drive', 'card', 'dos', 'use', 'file', 'know', 'program', 'scsi', 'does', 'software', 'pc', 'mail', 'problem', 'files', 'help', 'disk', 'using', 'mac', 'like', 'need', 'hi', 'graphics', 'window', 'work', 'advance', 'monitor', 'video', 'run', 'new', 'computer', 'looking', 'memory', 'bit', 'running', 'version', 'data', 'ftp', 've', 'email', 'used', 'driver', 'hard', 'information', 'screen', 'info', 'machine', 'mouse', 'available', 'ide', 'drivers', 'just', 'bus', 'appreciated', 'controller', 'color', 'ram', 'ms', 'want', 'board', 'os', 'display', 'drives', 'edu', 'image', 'mode', 'format', 'modem', 'server', 'apple', 'anybody', 'problems', 'ibm', 'chip', 'unix', 'port', 'set', 'application', 'hardware', 'send', '00', 'copy', 'good', 'interested', 'printer', 'floppy', 'code', 'price', 'access', 'don', 'speed', 'time', 'address', 'cards', 'works', 'vga', '16', 'sale', 'list']",1.9564290839916794
2,136.0754589100405,0,0.75,"['windows', 'thanks', 'drive', 'card', 'dos', 'use', 'file', 'know', 'program', 'scsi', 'does', 'software', 'pc', 'mail', 'problem', 'files', 'help', 'disk', 'using', 'mac', 'like', 'need', 'hi', 'graphics', 'window', 'work', 'advance', 'monitor', 'video', 'run', 'new', 'computer', 'looking', 'memory', 'bit', 'running', 'version', 'data', 'ftp', 've', 'email', 'used', 'driver', 'hard', 'information', 'screen', 'info', 'machine', 'mouse', 'available', 'ide', 'drivers', 'just', 'bus', 'appreciated', 'controller', 'color', 'ram', 'ms', 'want', 'board', 'os', 'display', 'drives', 'edu', 'image', 'mode', 'format', 'modem', 'server', 'apple', 'anybody', 'problems', 'ibm', 'chip', 'unix', 'port', 'set', 'application', 'hardware', 'send', '00', 'copy', 'good', 'interested', 'printer', 'floppy', 'code', 'price', 'access', 'don', 'speed', 'time', 'address', 'cards', 'works', 'vga', '16', 'sale', 'list']",0.9998179199901642
2,136.0754589100405,0,1.0,"['windows', 'thanks', 'drive', 'card', 'dos', 'use', 'file', 'know', 'program', 'scsi', 'does', 'software', 'pc', 'mail', 'problem', 'files', 'help', 'disk', 'using', 'mac', 'like', 'need', 'hi', 'graphics', 'window', 'work', 'advance', 'monitor', 'video', 'run', 'new', 'computer', 'looking', 'memory', 'bit', 'running', 'version', 'data', 'ftp', 've', 'email', 'used', 'driver', 'hard', 'information', 'screen', 'info', 'machine', 'mouse', 'available', 'ide', 'drivers', 'just', 'bus', 'appreciated', 'controller', 'color', 'ram', 'ms', 'want', 'board', 'os', 'display', 'drives', 'edu', 'image', 'mode', 'format', 'modem', 'server', 'apple', 'anybody', 'problems', 'ibm', 'chip', 'unix', 'port', 'set', 'application', 'hardware', 'send', '00', 'copy', 'good', 'interested', 'printer', 'floppy', 'code', 'price', 'access', 'don', 'speed', 'time', 'address', 'cards', 'works', 'vga', '16', 'sale', 'list']",1.0222135199874174
2,137.12064145306496,1,0.0,"['article', 'just', 'people', 've', 'writes', 'new', 'don', 'edu', 'll', 'read', 'government', 'good', 'doesn', 'did', 'tell', 'believe', '10', 'right', 'car', 'got', 'thing', 'really', 'post', 'power', 'god', 'better', 'think', 'ca', 'things', 'sure', 'make', 'question', 'way', 'use', 'wrote', 'day', 'group', 'instead', 'state', 'based', 'old', 'ago', 'games', 'wrong', 'easy', 'open', 'comes', 'team', 'come', 'says', 'little', 'control', 'algorithm', 'david', 'news', 'free', 'note', 'stuff', 'yes', 'answer', 'having', 'fact', 'great', 'non', 'times', 'example', 'keys', 'haven', 'pretty', 'lot', 'gov', 'jesus', 'point', 'subject', 'heard', 'year', 'didn', 'goes', 'look', 'place', 'long', 'probably', 'going', '1993', 'big', 'questions', 'course', 'guess', 'true', 'maybe', 'kind', 'months', 'encryption', 'book', 'actually', 'trying', 'case', 'told', 'reading', 'real']",0.5375780100002885
2,137.12064145306496,1,0.25,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.4887015300046187
2,137.12064145306496,1,0.5,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.47021390999725554
2,137.12064145306496,1,0.75,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.5411209500016412
2,137.12064145306496,1,1.0,"['windows', 'drive', 'thanks', 'card', 'dos', 'scsi', 'file', 'pc', 'software', 'program', 'disk', 'use', 'files', 'mac', 'mail', 'monitor', 'advance', 'hi', 'graphics', 'video', 'using', 'window', 'help', 'memory', 'problem', 'ide', 'run', 'ftp', 'computer', 'running', 'driver', 'controller', 'looking', 'mouse', 'bus', 'drivers', 'need', 'screen', 'version', 'ram', 'data', 'email', 'machine', 'color', 'info', 'work', 'appreciated', 'os', 'ms', 'drives', 'bit', 'board', 'mode', 'format', 'display', 'hard', 'available', 'modem', 'port', 'floppy', 'unix', 'server', 'printer', 'information', 'vga', 'does', 'image', 'application', 'ibm', 'know', 'meg', 'new', 'hardware', 'cards', 'sale', 'disks', 'serial', 'anybody', 'speed', 'package', 'copy', '00', 'apple', 'chip', 'motherboard', 'problems', 'price', 'used', 'mb', '486', 'access', 'hello', 'bios', 'microsoft', 'code', 'send', 'hd', 'isa', 'programs', 'cd']",14.202514712000266
