n_components,reconstruction_error,alpha,l1_ratio,topics,time
2,136.07546429250894,0,0.0,"['00', '000']",2.534107429004507
2,137.12064145306496,1,0.0,"['00', '000']",1.1900599339860491
2,137.12064145306496,1,0.25,"['000', '00']",1.227106239006389
2,137.12064145306496,1,0.5,"['000', '00']",1.0701917860133108
2,137.12064145306496,1,0.75,"['000', '00']",1.1283478209807072
2,137.12064145306496,1,1.0,"['000', '00']",26.738359431998106
2,137.12064145306496,5,0.0,"['000', '00']",1.0199055220000446
2,137.12064145306496,5,0.25,"['000', '00']",1.2566868569992948
2,137.12064145306496,5,0.5,"['000', '00']",0.7113187980139628
2,137.12064145306496,5,0.75,"['000', '00']",0.7742329920001794
2,137.12064145306496,5,1.0,"['000', '00']",15.404769938002573
2,137.12064145306496,10,0.0,"['000', '00']",0.7299559950188268
2,137.12064145306496,10,0.25,"['000', '00']",0.9702041890122928
2,137.12064145306496,10,0.5,"['000', '00']",0.8516125869937241
2,137.12064145306496,10,0.75,"['000', '00']",0.8110179700015578
2,137.12064145306496,10,1.0,"['000', '00']",15.379835956002353
3,135.89174045729092,0,0.0,"['00', '000', '0000']",1.4040582200104836
3,137.12064145306496,1,0.0,"['00', '0000', '000']",0.7779329699988011
3,137.12064145306496,1,0.25,"['0000', '000', '00']",0.7723811340110842
3,137.12064145306496,1,0.5,"['0000', '000', '00']",1.248136270995019
3,137.12064145306496,1,0.75,"['0000', '000', '00']",0.8475627489970066
3,137.12064145306496,1,1.0,"['0000', '000', '00']",27.83140835800441
3,137.12064145306496,5,0.0,"['0000', '000', '00']",0.9304936319822446
3,137.12064145306496,5,0.25,"['0000', '000', '00']",0.8068887219997123
3,137.12064145306496,5,0.5,"['0000', '000', '00']",1.166845834988635
3,137.12064145306496,5,0.75,"['0000', '000', '00']",0.7321736100129783
3,137.12064145306496,5,1.0,"['0000', '000', '00']",19.230545084021287
3,137.12064145306496,10,0.0,"['0000', '000', '00']",1.0231843840156216
3,137.12064145306496,10,0.25,"['0000', '000', '00']",0.7990286579879466
3,137.12064145306496,10,0.5,"['0000', '000', '00']",0.9362676430027932
3,137.12064145306496,10,0.75,"['0000', '000', '00']",0.8823728090210352
3,137.12064145306496,10,1.0,"['0000', '000', '00']",22.15270159600186
4,135.74901039507503,0,0.0,"['00', '000', '00000', '0000']",2.359335436980473
4,137.12064145306496,1,0.0,"['00', '00000', '0000', '000']",1.3021532580023631
4,137.12064145306496,1,0.25,"['00000', '0000', '000', '00']",1.2536472539941315
4,137.12064145306496,1,0.5,"['00000', '0000', '000', '00']",1.258781865995843
4,137.12064145306496,1,0.75,"['00000', '0000', '000', '00']",1.3185165699978825
4,137.12064145306496,1,1.0,"['00000', '0000', '000', '00']",20.73066836700309
4,137.12064145306496,5,0.0,"['0000', '00000', '000', '00']",0.8595976520155091
4,137.12064145306496,5,0.25,"['00000', '0000', '000', '00']",0.8315793660003692
4,137.12064145306496,5,0.5,"['00000', '0000', '000', '00']",0.8490834840049502
4,137.12064145306496,5,0.75,"['00000', '0000', '000', '00']",0.8526056309929118
4,137.12064145306496,5,1.0,"['00000', '0000', '000', '00']",19.878362884017406
4,137.12064145306496,10,0.0,"['00000', '0000', '000', '00']",1.0250799960049335
4,137.12064145306496,10,0.25,"['00000', '0000', '000', '00']",1.2761899729957804
4,137.12064145306496,10,0.5,"['00000', '0000', '000', '00']",1.3206821130006574
4,137.12064145306496,10,0.75,"['00000', '0000', '000', '00']",1.3038090640038718
4,137.12064145306496,10,1.0,"['00000', '0000', '000', '00']",32.48035264399368
5,135.6083155060006,0,0.0,"['00', '00000', '000000', '000', '0000']",3.376316712005064
5,137.12064145306496,1,0.0,"['00', '000000', '0000', '000', '00000']",2.2161322009924334
5,137.12064145306496,1,0.25,"['000000', '00000', '0000', '000', '00']",1.80926245401497
5,137.12064145306496,1,0.5,"['000000', '00000', '0000', '000', '00']",1.4236656840075739
5,137.12064145306496,1,0.75,"['000000', '00000', '0000', '000', '00']",1.392596888996195
5,137.12064145306496,1,1.0,"['000000', '00000', '0000', '000', '00']",30.429140805004863
5,137.12064145306496,5,0.0,"['00000', '000000', '0000', '000', '00']",1.5301983119861688
5,137.12064145306496,5,0.25,"['000000', '00000', '0000', '000', '00']",1.2810950559796765
5,137.12064145306496,5,0.5,"['000000', '00000', '0000', '000', '00']",1.5544520849944092
5,137.12064145306496,5,0.75,"['000000', '00000', '0000', '000', '00']",2.1731460459996015
5,137.12064145306496,5,1.0,"['000000', '00000', '0000', '000', '00']",35.96519456402166
5,137.12064145306496,10,0.0,"['000', '0000', '000000', '00000', '00']",1.0884999830159359
5,137.12064145306496,10,0.25,"['000000', '00000', '0000', '000', '00']",1.099044266011333
5,137.12064145306496,10,0.5,"['000000', '00000', '0000', '000', '00']",1.1704528399859555
5,137.12064145306496,10,0.75,"['000000', '00000', '0000', '000', '00']",1.1591187099984381
5,137.12064145306496,10,1.0,"['000000', '00000', '0000', '000', '00']",25.7457423019805
6,135.47865628427877,0,0.0,"['00', '00000000', '00000', '000000', '000', '0000']",2.737695026997244
6,137.12064145306496,1,0.0,"['00', '00000000', '000000', '00000', '0000', '000']",1.1067662159912288
6,137.12064145306496,1,0.25,"['00000000', '000000', '00000', '0000', '000', '00']",1.1585103149991482
6,137.12064145306496,1,0.5,"['00000000', '000000', '00000', '0000', '000', '00']",0.9901478429965209
6,137.12064145306496,1,0.75,"['00000000', '000000', '00000', '0000', '000', '00']",1.385427162022097
6,137.12064145306496,1,1.0,"['00000000', '000000', '00000', '0000', '000', '00']",39.58405828400282
6,137.12064145306496,5,0.0,"['00000000', '000000', '00000', '0000', '000', '00']",1.0020138129766565
6,137.12064145306496,5,0.25,"['00000000', '000000', '00000', '0000', '000', '00']",1.0402382670145016
6,137.12064145306496,5,0.5,"['00000000', '000000', '00000', '0000', '000', '00']",0.9275379269965924
6,137.12064145306496,5,0.75,"['00000000', '000000', '00000', '0000', '000', '00']",0.9717558360134717
6,137.12064145306496,5,1.0,"['00000000', '000000', '00000', '0000', '000', '00']",38.23057000999688
6,137.12064145306496,10,0.0,"['00000', '00000000', '000000', '0000', '000', '00']",1.3486158779996913
6,137.12064145306496,10,0.25,"['00000000', '000000', '00000', '0000', '000', '00']",1.3507844090054277
6,137.12064145306496,10,0.5,"['00000000', '000000', '00000', '0000', '000', '00']",1.1380709600052796
6,137.12064145306496,10,0.75,"['00000000', '000000', '00000', '0000', '000', '00']",0.9704929679865018
6,137.12064145306496,10,1.0,"['00000000', '000000', '00000', '0000', '000', '00']",30.83573074301239
7,135.33876269744954,0,0.0,"['0000000004', '00000000', '000000', '00000', '000', '00', '0000']",5.212059456011048
7,137.12064145306496,1,0.0,"['00', '0000000004', '00000000', '000000', '00000', '0000', '000']",1.323689235985512
7,137.12064145306496,1,0.25,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.1106995639856905
7,137.12064145306496,1,0.5,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.1001079340057913
7,137.12064145306496,1,0.75,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.057750741019845
7,137.12064145306496,1,1.0,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",45.9044586920063
7,137.12064145306496,5,0.0,"['000000', '0000', '0000000004', '00000000', '00000', '000', '00']",1.1396096190146636
7,137.12064145306496,5,0.25,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.168882230995223
7,137.12064145306496,5,0.5,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.2448573690198828
7,137.12064145306496,5,0.75,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.1076953250158112
7,137.12064145306496,5,1.0,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",47.46814273099881
7,137.12064145306496,10,0.0,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.2627820550114848
7,137.12064145306496,10,0.25,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.3260594299936201
7,137.12064145306496,10,0.5,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4902938909945078
7,137.12064145306496,10,0.75,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.080742388003273
7,137.12064145306496,10,1.0,"['0000000004', '00000000', '000000', '00000', '0000', '000', '00']",42.41514716600068
